EntityName,EntityTypeName,lat,lon
Hvide Sande Lægehus                                         ,General Practitoner,56.0123467188847,8.13000126571157
Bøvlingbjerg Lægehus                                        ,General Practitoner,56.4386207662777,8.20251018973999
Ringkøbing Løve Apotek                                      ,Pharmacy,56.0906485319224,8.24218565853102
Lægerne Nørredige                                           ,General Practitoner,56.0900619751915,8.25057594435127
Ringkøbing Lægehus                                          ,General Practitoner,56.0790906839716,8.2670659881092
Lægerne Birkmosevej                                         ,General Practitoner,56.0886784226179,8.26714328392104
Lægerne i Oksbøl                                            ,General Practitoner,55.6262698934752,8.27838745260346
Lægerne Nørre Nebel                                         ,General Practitoner,55.7802639695005,8.28840232544808
Nørre-Nebel Apotek                                          ,Pharmacy,55.7791326430321,8.29066396150926
Tim Lægehus                                                 ,General Practitoner,56.195254337038,8.30507187526842
Lemvig Apotek                                               ,Pharmacy,56.5495133209808,8.31013075123697
Lægerne Østergade                                           ,General Practitoner,56.5499792401613,8.31412308449201
Lemvig Lægehus                                              ,General Practitoner,56.5494110692909,8.31436779423802
Lone E. Jørgensen                                           ,General Practitoner,56.5494110693537,8.31436780562299
Lægeklinikken Lidenlund                                     ,General Practitoner,56.5494110695331,8.31436783815149
Klinik for Almen Medicin                                    ,General Practitoner,56.5498946935136,8.31487195747433
Søren Cordt Møller                                          ,General Practitoner,56.5551092235616,8.3156369615102
"Familielægerne Høst, Andersen og Skovgaard                  ",General Practitoner,56.2716686170557,8.32436825318633
Ulfborg-Vemb Lægehus Lægerne Overgaard og Bakkestrøm        ,General Practitoner,56.2716686170821,8.32436825803021
alles Lægehus Esbjerg V                                     ,General Practitoner,55.5181939401627,8.36859008571356
Lægerne Havborgvej                                          ,General Practitoner,55.5181939406851,8.36859018706708
Lægehuset Fanø V/Anders Skov Henriksen                      ,General Practitoner,55.4500560507563,8.40234835220919
Lægehuset Fyrvej                                            ,General Practitoner,55.4969108118437,8.40256374792023
Idun Lægerne                                                ,General Practitoner,55.5066095196703,8.43110202184762
Vesterhavslægerne                                           ,General Practitoner,55.506537157982,8.43125126975802
Esbjerg-Lægerne                                             ,General Practitoner,55.4734820739035,8.43216266371006
Lægehuset Helgolandsgade                                    ,General Practitoner,55.4734820747546,8.43216284720747
Regionsklinik Hurup                                         ,General Practitoner,56.7523842701048,8.4158078622005
Alment praktiserende læge Knut Rønning                      ,General Practitoner,56.7529830264998,8.41626779033472
Læge Merete Hansen                                          ,General Practitoner,56.7529830265113,8.41626779278758
Lægerne Strandbygade 65                                     ,General Practitoner,55.4723548322936,8.43760204389884
Alles Lægehus Willemoesgade                                 ,General Practitoner,55.4673102124379,8.44087005801319
alles Lægehus Esbjerg C                                     ,General Practitoner,55.4673102124668,8.44087006433971
Hurup Apotek                                                ,Pharmacy,56.749688728702,8.42273950178899
Esbjerg Neptun Apotek                                       ,Pharmacy,55.4667835345431,8.44299557482543
Strandbylægerne                                             ,General Practitoner,55.4663037726214,8.44360688572839
Almen Lægeklinik Esbjerg C                                  ,General Practitoner,55.4726978966927,8.44573627925526
Offshore Medical Center                                     ,General Practitoner,55.4664712972504,8.44871765977112
Thomas Nygaard Nissen                                       ,General Practitoner,55.46992656142,8.44870107594891
Klaus H√∂fle                                                 ,General Practitoner,55.469926561477,8.4487010886028
Minora                                                      ,General Practitoner,55.4656881005953,8.44888010577015
Lægerne Havnegade                                           ,General Practitoner,55.4648556454466,8.44969835374343
Lægeklinikken Saad Whaeb                                    ,General Practitoner,55.4647095608929,8.45058435933245
Nordic Health Partner                                       ,General Practitoner,55.458763611038,8.4509269936894
Lægerne Byparken                                            ,General Practitoner,55.4645599802228,8.45338213124247
Lægerne Englandsgade 8                                      ,General Practitoner,55.4652189975353,8.45418613133889
Lægerne Englandsgade 8                                      ,General Practitoner,55.4652189975565,8.45418613608353
Lægerne Nørregade 22                                        ,General Practitoner,55.4689988916571,8.45422330222068
Læge Emil Hald                                              ,General Practitoner,55.470928122067,8.45445717106592
Læge Trine Bjørndal                                         ,General Practitoner,55.4709281220705,8.45445717185681
Esbjerg Sygehus Grindsted Sygehus                           ,Hospital,55.4738592487417,8.45670629539436
Lægehuset Østergade                                         ,General Practitoner,55.4684569960653,8.4569405081453
Lægehuset Storegade                                         ,General Practitoner,55.4712327770741,8.46649537801857
Esbjerg Jerne Apotek                                        ,Pharmacy,55.4788140969662,8.48016766169798
Almen Lægeklinik Esbjerg Ø                                  ,General Practitoner,55.4788536341349,8.4804215780568
Varde Apotek                                                ,Pharmacy,55.6208216377292,8.47965017301316
Koruklinikken                                               ,General Practitoner,55.6205785747578,8.48083749909763
Varde Lægehus                                               ,General Practitoner,55.6038059896866,8.48422997833082
Lægerne Hjertestien                                         ,General Practitoner,55.6038059899535,8.48423004181594
Jacobilægerne                                               ,General Practitoner,55.6275579441258,8.48417269924782
Morten D. Bruun                                             ,General Practitoner,55.4693065732963,8.48660941126466
Lægerne Jugendhuset                                         ,General Practitoner,55.6246555608438,8.48873881186024
Skjern Apotek                                               ,Pharmacy,55.9469965721171,8.4944031633014
Regionsklinik Skjern                                        ,General Practitoner,55.9461299298951,8.49518628493148
Spjald Lægehus                                              ,General Practitoner,56.1212042508352,8.50202960649443
